Date,Shift,Machine,ActualOutput,TargetOutput,GoodUnits,ScrapUnits,OEE(%),Downtime(minutes),DefectRate(%),DowntimeReason
2025-11-14,Night,Press-03,860,896,824,36,83.63,35,4.19,Mechanical Failure
2025-11-13,Morning,CNC-01,774,917,754,20,87.6,11,2.58,Material Shortage
2025-11-13,Morning,Press-04,674,590,658,16,60.99,60,2.37,Mechanical Failure
2025-11-13,Morning,Robot-A2,379,476,360,19,69.34,38,5.01,Sensor Error
2025-11-13,Morning,CNC-06,861,914,818,43,79.91,80,4.99,Mechanical Failure
2025-11-13,Morning,Press-03,283,359,275,8,85.82,72,2.83,Operator Delay
2025-11-13,Afternoon,CNC-01,559,507,538,21,69.3,103,3.76,Sensor Error
2025-11-13,Afternoon,Press-04,517,448,502,15,78.75,102,2.9,Sensor Error
2025-11-13,Afternoon,Robot-A2,217,373,213,4,73.6,75,1.84,Setup
2025-11-13,Afternoon,CNC-06,312,325,303,9,82.96,13,2.88,Mechanical Failure
2025-11-13,Afternoon,Press-03,463,417,459,4,71.2,83,0.86,Sensor Error
2025-11-13,Night,CNC-01,361,347,358,3,85.19,16,0.83,Operator Delay
2025-11-13,Night,Press-04,207,353,199,8,65.88,81,3.86,Mechanical Failure
2025-11-13,Night,Robot-A2,438,566,419,19,79.58,17,4.34,Material Shortage
2025-11-13,Night,CNC-06,295,282,289,6,85.67,116,2.03,Setup
2025-11-13,Night,Press-03,699,763,668,31,72.19,64,4.43,Material Shortage
2025-11-12,Morning,CNC-01,206,368,202,4,85.44,28,1.94,Setup
2025-11-12,Morning,Press-04,484,571,475,9,87.32,78,1.86,Setup
2025-11-12,Morning,Robot-A2,722,855,712,10,70.89,21,1.39,Setup
2025-11-12,Morning,CNC-06,460,652,445,15,76.56,107,3.26,Operator Delay
2025-11-12,Morning,Press-03,699,878,667,32,76.97,68,4.58,Mechanical Failure
2025-11-12,Afternoon,CNC-01,314,422,302,12,76.25,118,3.82,Mechanical Failure
2025-11-12,Afternoon,Press-04,558,658,533,25,85.05,13,4.48,Material Shortage
2025-11-12,Afternoon,Robot-A2,641,569,613,28,68.17,84,4.37,Material Shortage
2025-11-12,Afternoon,CNC-06,327,268,319,8,68.22,26,2.45,Operator Delay
2025-11-12,Afternoon,Press-03,352,327,337,15,60.33,94,4.26,Sensor Error
2025-11-12,Night,CNC-01,486,519,477,9,67.52,118,1.85,Mechanical Failure
2025-11-12,Night,Press-04,654,726,645,9,72.13,71,1.38,Material Shortage
2025-11-12,Night,Robot-A2,757,720,731,26,88.76,74,3.43,Sensor Error
2025-11-12,Night,CNC-06,892,1083,878,14,62.05,20,1.57,Sensor Error
2025-11-12,Night,Press-03,711,774,698,13,68.91,108,1.83,Material Shortage
2025-11-11,Morning,CNC-01,254,264,252,2,64.05,65,0.79,Mechanical Failure
2025-11-11,Morning,Press-04,747,885,718,29,77.85,116,3.88,Mechanical Failure
2025-11-11,Morning,Robot-A2,706,806,695,11,63.2,82,1.56,Mechanical Failure
2025-11-11,Morning,CNC-06,840,956,824,16,77.95,34,1.9,Sensor Error
2025-11-11,Morning,Press-03,330,458,313,17,89.03,111,5.15,Material Shortage
2025-11-11,Afternoon,CNC-01,723,897,697,26,84.22,58,3.6,Operator Delay
2025-11-11,Afternoon,Press-04,216,172,209,7,65.55,71,3.24,Sensor Error
2025-11-11,Afternoon,Robot-A2,860,840,842,18,80.77,79,2.09,Mechanical Failure
2025-11-11,Afternoon,CNC-06,665,653,651,14,80.8,114,2.11,Operator Delay
2025-11-11,Afternoon,Press-03,737,683,701,36,77.65,26,4.88,Material Shortage
2025-11-11,Night,CNC-01,285,434,274,11,63.62,16,3.86,Mechanical Failure
2025-11-11,Night,Press-04,887,1001,874,13,82.35,48,1.47,Sensor Error
2025-11-11,Night,Robot-A2,601,603,571,30,77.89,108,4.99,Setup
2025-11-11,Night,CNC-06,387,384,383,4,75.91,99,1.03,Setup
2025-11-11,Night,Press-03,238,152,234,4,76.15,95,1.68,Mechanical Failure
2025-11-10,Morning,CNC-01,596,705,580,16,72.8,117,2.68,Material Shortage
2025-11-10,Morning,Press-04,510,636,504,6,60.64,22,1.18,Operator Delay
2025-11-10,Morning,Robot-A2,473,468,466,7,89.94,38,1.48,Mechanical Failure
2025-11-10,Morning,CNC-06,676,820,656,20,77.42,117,2.96,Mechanical Failure
2025-11-10,Morning,Press-03,465,429,446,19,63.31,23,4.09,Material Shortage
2025-11-10,Afternoon,CNC-01,523,568,502,21,61.26,74,4.02,Operator Delay
2025-11-10,Afternoon,Press-04,784,823,778,6,83.94,110,0.77,Sensor Error
2025-11-10,Afternoon,Robot-A2,579,676,575,4,86.53,97,0.69,Sensor Error
2025-11-10,Afternoon,CNC-06,261,386,249,12,89.74,68,4.6,Setup
2025-11-10,Afternoon,Press-03,774,916,753,21,66.92,107,2.71,Mechanical Failure
2025-11-10,Night,CNC-01,417,557,414,3,84.79,14,0.72,Operator Delay
2025-11-10,Night,Press-04,253,199,242,11,75.55,29,4.35,Material Shortage
2025-11-10,Night,Robot-A2,772,849,750,22,89.89,12,2.85,Sensor Error
2025-11-10,Night,CNC-06,319,307,311,8,77.4,107,2.51,Sensor Error
2025-11-10,Night,Press-03,816,838,779,37,86.66,34,4.53,Material Shortage
